GEMEENTE,TOTAAL-BEVOLKING,OPPERVLAKTE,GEMIDDELDE-BEVOLKINGSDICHTHEID-PER-KM2
AARTSELAAR,14281,10926126,1307
ANTWERPEN,502604,204514194,2458
BOECHOUT,12724,20655116,616
BOOM,17166,7365385,2331
BORSBEEK,10233,3918657,2611
BRASSCHAAT,37301,38494822,969
BRECHT,27906,90838469,307
EDEGEM,21064,8652220,2435
ESSEN,18075,47482511,381
HEMIKSEM,10605,5438191,1950
HOVE,8199,5986958,1369
KALMTHOUT,18126,59447386,305
KAPELLEN,26546,37113055,715
KONTICH,20739,23669000,876
LINT,8620,5572851,1547
MORTSEL,25143,7784176,3230
NIEL,9461,5270786,1795
RANST,18463,43583746,424
RUMST,14876,19903814,747
SCHELLE,8088,7799064,1037
SCHILDE,19472,35989363,541
SCHOTEN,33766,29552113,1143
STABROEK,18028,21506498,838
WIJNEGEM,9041,7859684,1150
WOMMELGEM,12386,13006528,952
WUUSTWEZEL,19547,89426565,219
ZANDHOVEN,12580,40100910,314
ZOERSEL,21555,38650820,558
ZWIJNDRECHT,18643,17818636,1046
MALLE,14763,51985948,284
BERLAAR,10960,24571878,446
BONHEIDEN,14722,29266469,503
BORNEM,20866,45758250,456
DUFFEL,16941,22712439,746
HEIST-OP-DEN-BERG,40512,86459749,469
LIER,34276,49703065,690
MECHELEN,82325,65187751,1263
NIJLEN,22065,39091325,564
PUTTE,16726,34955804,478
PUURS,16704,33411147,500
SINT-AMANDS,8124,15575837,522
SINT-KATELIJNE-WAVER,20349,36116313,563
WILLEBROEK,24825,27405375,906
ARENDONK,12894,55382004,233
BAARLE-HERTOG,2592,7478767,347
BALEN,21570,72881801,296
BEERSE,17167,37479848,458
DESSEL,9231,27030251,342
GEEL,37848,109851111,345
GROBBENDONK,11047,28356456,390
HERENTALS,27368,48560722,564
HERENTHOUT,8747,23550558,371
HERSELT,14399,52319234,275
HOOGSTRATEN,20386,105318425,194
HULSHOUT,10061,17345510,580
KASTERLEE,18132,71519979,254
LILLE,16350,59398481,275
MEERHOUT,9913,36287185,273
MERKSPLAS,8576,44559709,192
MOL,34827,114256076,305
OLEN,11923,23174724,514
OUD-TURNHOUT,12905,38795625,333
RAVELS,14515,94992548,153
RETIE,10799,48389051,223
RIJKEVORSEL,11434,46785833,244
TURNHOUT,41572,56063795,742
VORSELAAR,7640,27622103,277
VOSSELAAR,10700,11848002,903
WESTERLO,24379,55125816,442
LAAKDAL,15533,42484133,366
ASSE,30875,49639784,622
BEERSEL,24244,30006747,808
BEVER,2171,19776143,110
DILBEEK,40388,41176416,981
GALMAARDEN,8535,34933018,244
GOOIK,9181,39696259,231
GRIMBERGEN,35810,38610419,927
HALLE,36852,44404281,830
HERNE,6572,44628459,147
HOEILAART,10539,20428394,516
KAMPENHOUT,11316,33494104,338
KAPELLE-OP-DEN-BOS,9161,15246622,601
LIEDEKERKE,12646,10078039,1255
LONDERZEEL,17869,36293305,492
MACHELEN,13738,11594321,1185
MEISE,18418,34818494,529
MERCHTEM,15693,36718379,427
OPWIJK,13679,19690322,695
OVERIJSE,24716,44432615,556
PEPINGEN,4417,36047082,123
SINT-PIETERS-LEEUW,32246,40379563,799
STEENOKKERZEEL,11640,23458900,496
TERNAT,15142,24477773,619
VILVOORDE,41005,21472076,1910
ZAVENTEM,31715,27623825,1148
ZEMST,22249,42834376,519
ROOSDAAL,11260,21692408,519
DROGENBOS,5013,2490957,2012
KRAAINEM,13585,5804447,2340
LINKEBEEK,4787,4149313,1154
SINT-GENESIUS-RODE,17934,22772412,788
WEMMEL,15341,8743945,1754
WEZEMBEEK-OPPEM,13830,6818743,2028
LENNIK,8915,30796414,289
AFFLIGEM,12615,17697315,713
AARSCHOT,28755,62514975,460
BEGIJNENDIJK,9962,17618542,565
BEKKEVOORT,6079,37171201,164
BERTEM,9638,29747133,324
BIERBEEK,9609,39734547,242
BOORTMEERBEEK,11967,18636718,642
BOUTERSEM,7792,30751381,253
